xintercept	key	showSelected1	showSelected2	PANEL
28.5	28	50	28	1
29.5	29	50	29	1
30.5	30	50	30	1
31.5	31	50	31	1
32.5	32	50	32	1
33.5	33	50	33	1
34.5	34	50	34	1
35.5	35	50	35	1
36.5	36	50	36	1
37.5	37	50	37	1
38.5	38	50	38	1
39.5	39	50	39	1
40.5	40	50	40	1
41.5	41	50	41	1
42.5	42	50	42	1
43.5	43	50	43	1
44.5	44	50	44	1
45.5	45	50	45	1
46.5	46	50	46	1
47.5	47	50	47	1
48.5	48	50	48	1
49.5	49	50	49	1
0.5	0	51	0	1
1.5	1	51	1	1
2.5	2	51	2	1
3.5	3	51	3	1
4.5	4	51	4	1
5.5	5	51	5	1
6.5	6	51	6	1
7.5	7	51	7	1
8.5	8	51	8	1
9.5	9	51	9	1
10.5	10	51	10	1
11.5	11	51	11	1
12.5	12	51	12	1
13.5	13	51	13	1
14.5	14	51	14	1
15.5	15	51	15	1
16.5	16	51	16	1
17.5	17	51	17	1
18.5	18	51	18	1
19.5	19	51	19	1
20.5	20	51	20	1
21.5	21	51	21	1
22.5	22	51	22	1
23.5	23	51	23	1
24.5	24	51	24	1
25.5	25	51	25	1
26.5	26	51	26	1
27.5	27	51	27	1
28.5	28	51	28	1
29.5	29	51	29	1
30.5	30	51	30	1
31.5	31	51	31	1
32.5	32	51	32	1
33.5	33	51	33	1
34.5	34	51	34	1
35.5	35	51	35	1
36.5	36	51	36	1
37.5	37	51	37	1
38.5	38	51	38	1
39.5	39	51	39	1
40.5	40	51	40	1
41.5	41	51	41	1
42.5	42	51	42	1
43.5	43	51	43	1
44.5	44	51	44	1
45.5	45	51	45	1
46.5	46	51	46	1
47.5	47	51	47	1
48.5	48	51	48	1
49.5	49	51	49	1
50.5	50	51	50	1
0.5	0	52	0	1
1.5	1	52	1	1
2.5	2	52	2	1
3.5	3	52	3	1
4.5	4	52	4	1
5.5	5	52	5	1
6.5	6	52	6	1
7.5	7	52	7	1
8.5	8	52	8	1
9.5	9	52	9	1
10.5	10	52	10	1
11.5	11	52	11	1
12.5	12	52	12	1
13.5	13	52	13	1
14.5	14	52	14	1
15.5	15	52	15	1
16.5	16	52	16	1
17.5	17	52	17	1
18.5	18	52	18	1
19.5	19	52	19	1
20.5	20	52	20	1
21.5	21	52	21	1
22.5	22	52	22	1
23.5	23	52	23	1
24.5	24	52	24	1
25.5	25	52	25	1
26.5	26	52	26	1
27.5	27	52	27	1
