xmin	xmax	key	clickSelects	showSelected1	PANEL	group
25	26	25	25	42	2	-1
26	27	26	26	42	2	-1
27	28	27	27	42	2	-1
28	29	28	28	42	2	-1
29	30	29	29	42	2	-1
30	31	30	30	42	2	-1
31	32	31	31	42	2	-1
32	33	32	32	42	2	-1
33	34	33	33	42	2	-1
34	35	34	34	42	2	-1
35	36	35	35	42	2	-1
36	37	36	36	42	2	-1
37	38	37	37	42	2	-1
38	39	38	38	42	2	-1
39	40	39	39	42	2	-1
40	41	40	40	42	2	-1
41	42	41	41	42	2	-1
0	1	0	0	43	2	-1
1	2	1	1	43	2	-1
2	3	2	2	43	2	-1
3	4	3	3	43	2	-1
4	5	4	4	43	2	-1
5	6	5	5	43	2	-1
6	7	6	6	43	2	-1
7	8	7	7	43	2	-1
8	9	8	8	43	2	-1
9	10	9	9	43	2	-1
10	11	10	10	43	2	-1
11	12	11	11	43	2	-1
12	13	12	12	43	2	-1
13	14	13	13	43	2	-1
14	15	14	14	43	2	-1
15	16	15	15	43	2	-1
16	17	16	16	43	2	-1
17	18	17	17	43	2	-1
